"county","state","stco","ppt","whc","sand","silt","clay","om","kwfactor","kffactor","sph","slope","tfactor","corn","soybean","cotton","wheat","rm_range"
"Abbeville","SC",45001,562.299072323251,22.9469280640662,39.2605427858212,21.3883937950782,39.3510634191005,36.9247090035283,0.20457190276196,0.20443245490129,5.41300827314609,42.5917654934419,4.66683383421643,57.75,16.7538461538462,525.5,30.175,"111-120"
"Acadia","LA",22001,751.1477973048,37.8311523836587,12.8289561138962,54.1923098274315,32.9787340586724,105.791331464422,0.443280304877784,0.443191421245358,6.37053339113076,34.922659454782,4.85520221002149,92.425,28.7285714285714,NA,38.11,"111-120"
"Accomack","VA",51001,584.680708535831,18.5629023047493,74.8204175709894,16.8207195155986,8.35886291341203,103.114248633977,0.204454414666608,0.204454414666608,5.16644618211515,NA,4.01100747508148,116.997142857143,30.4485714285714,575.125,56.0740740740741,"111-120"
"Ada","ID",16001,124.950172976655,15.5482527771047,44.4934951737879,40.4799950895422,15.0265097366698,77.6149881381831,0.410670397648999,0.419854538423127,7.64818973497046,NA,2.85395704670055,145.741379310345,NA,NA,97.262962962963,NA
"Adair","IA",19001,598.447756127625,28.9185073033758,17.8201117730465,48.4405619904599,33.7393262364936,259.532552873129,0.354136894943719,0.354136894943719,6.21513870543413,55.2420071013072,4.69108900646008,133.025714285714,41.7085714285714,NA,34.04,"101-110"
"Adair","KY",21001,698.623350055841,20.8734945579701,15.6678065268893,48.1673275561745,36.1648659169362,73.0535633951195,0.316608909928166,0.37257813353996,5.3518322822244,37.6507452012457,4.11928936928516,95.7676470588235,37.5,NA,37.4210526315789,"111-120"
"Adair","MO",29001,642.761087843367,26.6955377790881,22.7291545917093,43.7005611992249,33.5702842090659,141.443143451523,0.33876859794117,0.33876859794117,6.2028557954703,43.1621253438265,4.68703901189908,105.822857142857,32.5735294117647,NA,42.0185185185185,"111-120"
"Adair","OK",40001,678.083699504958,17.0323840463298,19.0694697882363,47.861791758336,33.0687384534277,112.718016138247,0.175282476570567,0.344192997315064,5.23789905825093,68.2562680832471,3.78360844959913,88,22.4,NA,31.7090909090909,"111-120"
"Adams","CO",8001,283.646248002004,22.0344946079856,47.832179524947,30.2792676860067,21.8885527890463,102.077306268147,0.308443296035404,0.314076751420826,7.9471170108136,83.1822129609217,4.64053900780409,110.329411764706,NA,NA,31.2407407407407,"91-100"
"Adams","IA",19003,609.115578253016,33.8115623500824,11.7940213158436,53.877360610046,34.3286180741105,228.824401754875,0.376331461758037,0.376331461758037,6.46035850532154,55.8389945886573,4.65399149797683,127.605714285714,40.2257142857143,NA,32.0333333333333,"111-120"
"Adams","ID",16003,242.995880696599,21.9532343440759,41.6183248409155,36.8857342387579,21.4959409203266,289.824015638044,0.243357669136341,0.2898855015374,6.63383271688755,185.047610889385,4.05656830357985,NA,NA,NA,53.7666666666667,NA
"Adams","IL",17001,600.424231006002,34.8165549049954,9.79408793312809,62.058195090079,28.1477169767929,153.843806731962,0.420089528408277,0.420659427853566,6.28654557802283,100.573062468121,4.70405821080904,133.357142857143,40.1914285714286,NA,52.7777777777778,"111-120"
"Adams","IN",18001,571.787219592784,21.1953732532855,19.5723401388458,44.0799288218297,36.3477310393245,286.034795634185,0.314288030292988,0.314401749075923,7.31671233290731,55.7753767726973,4.04667033653616,130.42,42.26,NA,60.3888888888889,"101-110"
"Adams","MS",28001,728.424162962697,31.96825848311,17.9195806888531,57.1095173457836,24.9709019653633,86.6777281178808,0.444423876110638,0.444423876110638,6.27732999635961,45.2048606051203,4.98362521669799,76.7214285714286,26.5684210526316,809.588235294118,34.8272727272727,"111-120"
"Adams","ND",38001,307.885255597107,21.9914351844471,40.3551467221934,33.959281962909,25.6855713148976,166.647596423061,0.319269999265848,0.322409032255382,7.72521213502232,51.9967412477716,3.5596711823652,47.8241379310345,11.5,NA,23.6851851851852,"80-90"
"Adams","NE",31001,489.897424236468,38.547070371571,13.1279416747817,62.200785141044,24.6712731841743,154.315223640049,0.454114864334223,0.454229582776955,7.31670637178944,69.4947966558343,4.81439246741455,158.034285714286,48.78,NA,39.3259259259259,"111-120"
"Adams","OH",39001,629.073383799017,20.2004652163822,18.1973138086976,46.7517919565508,35.0508942347516,91.88174364225,0.323685538355106,0.332731801650934,6.14131238543452,49.2563117818608,3.4179250397686,108.254285714286,35.6352941176471,NA,42.162962962963,"111-120"
"Adams","PA",42001,580.297884816129,15.1796315154154,27.7725505260987,48.9670753601433,23.260374113758,82.2030416175508,0.264367035969163,0.416993881533905,5.59528290301787,61.2874388503151,3.1511824477309,97.1314285714286,35.865625,NA,45.062962962963,"101-110"
"Adams","WA",53001,102.945890339072,26.7109701885436,26.3021097905283,65.5694961803348,8.12839402913691,88.9624589865452,0.57291214408026,0.581761102352292,7.83385125909317,NA,4.58458642803941,158.258333333333,NA,NA,49.4259259259259,NA
