"stco","crop","yield","whc","sand","silt","clay","om","kwfactor","kffactor","spH","slope","tfactor","ppt","County","State","corn_maturity_zone","gdd","perc_acres_corn_grain","perc_acres_corn_silage","total_corn_perc_acres"
1001,"corn",56.5,24.5376441256803,60.0392436450764,19.9239025268965,20.0368538280271,112.607163634605,0.222189469161518,0.225093332385919,5.1318088144838,51.0964522904943,4.95806229038203,649.300993149865,"autauga","AL",8,5735.81032839928,1.77,2.08,3.85
1001,"soybean",22.3,24.5376441256803,60.0392436450764,19.9239025268965,20.0368538280271,112.607163634605,0.222189469161518,0.225093332385919,5.1318088144838,51.0964522904943,4.95806229038203,649.300993149865,"autauga","AL",8,5735.81032839928,1.77,2.08,3.85
1003,"corn",99,23.7388386865109,58.1045918664709,22.3676981666407,19.5277099668884,153.853624908997,0.254451112257626,0.26054101836848,4.94092044965527,108.040514120176,4.94887661800804,895.085762618372,"baldwin","AL",8,6430.32973156589,4.53,0.2,4.73
1003,"soybean",29.5,23.7388386865109,58.1045918664709,22.3676981666407,19.5277099668884,153.853624908997,0.254451112257626,0.26054101836848,4.94092044965527,108.040514120176,4.94887661800804,895.085762618372,"baldwin","AL",8,6430.32973156589,4.53,0.2,4.73
1005,"corn",78.2,21.6020813596448,61.4712017273716,16.4716423728991,22.0571558997293,90.3376818568051,0.212765440984465,0.212828776091616,5.12060148469027,66.7469105932362,4.9229882147624,674.41743635867,"barbour","AL",8,5814.59852051638,5.44,0,5.44
1005,"soybean",21.9,21.6020813596448,61.4712017273716,16.4716423728991,22.0571558997293,90.3376818568051,0.212765440984465,0.212828776091616,5.12060148469027,66.7469105932362,4.9229882147624,674.41743635867,"barbour","AL",8,5814.59852051638,5.44,0,5.44
1007,"corn",45,26.0137011193824,50.8768544877236,24.5538795277324,24.569265984544,75.8396600672492,0.244438762402746,0.258109566058708,4.96778812013862,41.0914459989925,4.85416034366649,666.003651723776,"bibb","AL",8,5408.82000104281,24,4,28
1007,"soybean",22.6,26.0137011193824,50.8768544877236,24.5538795277324,24.569265984544,75.8396600672492,0.244438762402746,0.258109566058708,4.96778812013862,41.0914459989925,4.85416034366649,666.003651723776,"bibb","AL",8,5408.82000104281,24,4,28
1009,"corn",92.85,17.8980136441216,37.3464704676155,33.5772463740601,29.0762831583244,79.3506233471018,0.24237704221661,0.296629458214695,4.91674120740488,31.2438372874567,3.10672503012975,704.453822591259,"blount","AL",8,4879.37076675902,4.93,0.59,5.52
1009,"soybean",27,17.8980136441216,37.3464704676155,33.5772463740601,29.0762831583244,79.3506233471018,0.24237704221661,0.296629458214695,4.91674120740488,31.2438372874567,3.10672503012975,704.453822591259,"blount","AL",8,4879.37076675902,4.93,0.59,5.52
