"block","prev_crop","fresh_weight"
1,"conv_broccoli",52.159244730347
1,"green_manure",49.8219139334886
1,"organic_broccoli",36.8092563601251
1,"fallow",54.0534218099588
2,"conv_broccoli",52.7972608531433
2,"fallow",47.683638963641
2,"green_manure",47.8809930691533
2,"organic_broccoli",40.0545475539402
3,"conv_broccoli",54.5238641878152
3,"green_manure",56.3466868809257
3,"organic_broccoli",44.2635359936265
3,"fallow",49.3529522523777
4,"conv_broccoli",51.6809059274845
4,"green_manure",44.0667927461845
4,"fallow",51.045258332391
4,"organic_broccoli",36.1088729772611
