"trt","yield"
"A",47.8782351082079
"A",50.0918997002467
"A",51.9150400059427
"A",47.2492677048375
"A",51.7066874544251
"A",51.1588700263401
"B",101.714989761286
"B",111.039429249057
"B",89.921231652838
"B",112.402645742283
"B",94.2080077610986
"B",90.7136958334371
"C",137.284960892497
"C",172.867841444501
"C",169.173481534937
"C",152.292838719345
"C",128.594652437931
"C",139.786224970789
"D",240.618767244776
"D",213.807759236776
"D",193.439929804465
"D",183.918913099026
"D",203.247205615617
"D",164.96742499934
