"trt","yield"
"X100",55.4635180981253
"X100",88.2529530564143
"X100",49.3536843304039
"X100",68.8874434865401
"X100",93.0726308743005
"X100",58.9697701542159
"X173",50.7104654322602
"X173",47.6366200976735
"X173",54.221036437622
"X173",62.2045409669306
"X173",82.7248925077679
"X173",44.5024445577458
"X322",37.8177918006527
"X322",47.4658178231395
"X322",37.9080409429359
"X322",47.6597302333541
"X322",42.8681488505113
"X322",26.2804703494065
"X470",14.1727615847327
"X470",10.8502224031756
"X470",18.5549712034681
"X470",18.8296998191252
"X470",22.3244189562644
"X470",17.267926033234
